name,houseNumbers,districtNumber,schoolId
Jägersteig,gesamt,33,Schule+am+Griebnitzsee
Joe-May-Str.,gesamt,33,Schule+am+Griebnitzsee
Johann-Strauß-Platz,gesamt,33,Schule+am+Griebnitzsee
Joseph-v.-Sternberg-Str.,gesamt,33,Schule+am+Griebnitzsee
Karl-Marx-Str.,ung. 1-35 ; ger. 2-72,33,Schule+am+Griebnitzsee
Karl-Marx-Str.,ung. 41-73,33,Schule+am+Griebnitzsee
Klopstockstr.,gesamt,33,Schule+am+Griebnitzsee
Körnerweg,gesamt,33,Schule+am+Griebnitzsee
Lessingstr.,gesamt,33,Schule+am+Griebnitzsee
Lilian-Harvey-Str.,gesamt,33,Schule+am+Griebnitzsee
Marlene-Dietrich-Allee,gesamt,33,Schule+am+Griebnitzsee
Merkurstr.,gesamt,33,Schule+am+Griebnitzsee
Otto-Erich-Str.,gesamt,33,Schule+am+Griebnitzsee
Pasteurstr.,ung. 23-25 ; ger. 24-26,33,Schule+am+Griebnitzsee
Paul-Neumann-Str.,ger. 2-84,33,Schule+am+Griebnitzsee
Plantagenhof,gesamt,33,Schule+am+Griebnitzsee
Plantagenplatz,ohne HNr.,33,Schule+am+Griebnitzsee
Plantagenstr.,ung. 3-19 ; ger. 4-20,33,Schule+am+Griebnitzsee
Prof.-Dr.-Helmert-Str.,gesamt,33,Schule+am+Griebnitzsee
Quentin-Tarantino-Str.,gesamt,33,Schule+am+Griebnitzsee
Reuterstr.,gesamt,33,Schule+am+Griebnitzsee
Robert-Koch-Str.,gesamt,33,Schule+am+Griebnitzsee
Rosa-Luxemburg-Str.,ung. 1-15B ; ger. 18-40,33,Schule+am+Griebnitzsee
Rosa-Luxemburg-Str.,ung. 19-41 ; ger. 2-14,33,Schule+am+Griebnitzsee
Rosenstr.,gesamt,33,Schule+am+Griebnitzsee
Rotdornweg,gesamt,33,Schule+am+Griebnitzsee
Rote-Kreuz-Str.,gesamt,33,Schule+am+Griebnitzsee
Rud.-Breitscheid-Str.,ung. 113A-233 ; ger. 112-236A,33,Schule+am+Griebnitzsee
Sauerbruchstr.,gesamt,33,Schule+am+Griebnitzsee
Scheffelstr.,ung. 19-27 ; ger. 20-38,33,Schule+am+Griebnitzsee
Semmelweisstr.,ung. 41-49,33,Schule+am+Griebnitzsee
Spitzweggasse,ung. 3-9 ; ger. 4-8,33,Schule+am+Griebnitzsee
Stahnsdorfer Str.,gesamt,33,Schule+am+Griebnitzsee
Steinstr.,ung. 1-27A ; ger. 2-18,33,Schule+am+Griebnitzsee
Stubenrauchstr.,gesamt,33,Schule+am+Griebnitzsee
Uhlandstr.,gesamt,33,Schule+am+Griebnitzsee
Virchowstr.,gesamt,33,Schule+am+Griebnitzsee
Wasserstr.,gesamt,33,Schule+am+Griebnitzsee
Zarah-Leander-Str.,gesamt,33,Schule+am+Griebnitzsee
Alter Markt,gesamt,19,Rosa-Luxemburg-Schule
Am Alten Markt,gesamt,19,Rosa-Luxemburg-Schule
Am Bassin,gesamt,19,Rosa-Luxemburg-Schule
Am Kanal,gesamt,19,Rosa-Luxemburg-Schule
Behlertstr.,ung. 1-3A ; ger. 34-44,19,Rosa-Luxemburg-Schule
Behlertstr.,ung. 33-45A ; ger. 2-4,19,Rosa-Luxemburg-Schule
Berliner Str.,gesamt,19,Rosa-Luxemburg-Schule
Böcklinstr.,gesamt,19,Rosa-Luxemburg-Schule
Brandenburger Str.,ung. 35-41 ; ger. 34-42,19,Rosa-Luxemburg-Schule
Brauerstr.,gesamt,19,Rosa-Luxemburg-Schule
Breite Str.,ohne HNr.,19,Rosa-Luxemburg-Schule
Burgstr.,gesamt,19,Rosa-Luxemburg-Schule
Charlottenstr.,ung. 47-89 ; ger. 40-88,19,Rosa-Luxemburg-Schule
Chileplatz,gesamt,19,Rosa-Luxemburg-Schule
Dürerstr.,gesamt,19,Rosa-Luxemburg-Schule
Eltesterstr.,gesamt,19,Rosa-Luxemburg-Schule
Französische Str.,gesamt,19,Rosa-Luxemburg-Schule
